Name,Year,Type,url,Title
Zhe Yu,,Written Prelim,tiny.cc/zhe_written,
Vivek Nair,,Written Prelim,http://vivekaxl.github.io/assets/Frugal.pdf,
Vivek Nair,,Oral Prelim,http://tiny.cc/Frugal2,
Vivek Nair,2017,SWAN'17,http://vivekaxl.github.io/assets/AdvancedAnalytics.pdf,
Vivek Nair,2017,FSE'17,http://vivekaxl.github.io/assets/UsingBadLearnerstofindGoodConfiguration.pdf,
Amritanshu Agrawal,,Written Prelim,http://tiny.cc/amrit17exam,
George  Mathew,,Written Prelim,http://tiny.cc/bfn17exam,
George  Mathew,2017,RE Talk,http://tiny.cc/bfn17re,
Tim Menzies,2017,"Invited Talk, Monash Univeristy, 2017",http://tiny.cc/tim17vic,"More less: seeking simpler  software analytics (why?, how?)"
Tim Menzies,2017,Keynote: data-drive search-based SE,http://tiny.cc/17search,when data mienrs meet optimizers
Tim Menzies,2016,SSBSE'17,http://tiny.cc/timm10,An (Accidental) Exploration of Alternatives to Evolutionary Algorithms
Tim Menzies,2018,"Keynote RAISE18
Inivted talk, Naval Research Labs
Invited talk SE ML summer school",http://tiny.cc/18semla,"Software assurance and AI:  how to achieve SA assurance for systems that
use machine learning or other AI methods
"
Tim Menzies,2017,"Invited talk
CREST52, UCL",tiny.cc/timcow52,Analytics without SBSE Considered Harmful
Tim Menzues,2016,"Invited talk, workshop on search-based SE",http://tiny.cc/timm4,"Data Science2  =
( Test * DataScience )"
Tim Menzies,2017,"Invited talk, IBM developers conference",http://tiny.cc/tim17ibm,Empriical SE research @data.IBM.honeypot
Tim Menzies,2018,MSR'18,http://tiny.cc/18msr,Data-Driven Search-based SE
Tim Menzies,2015,FSE'15,http://tiny.c/gale15,GALE: geometric active learning for search-based SE
Tim Menzies,2018,FSE'17,http://tiny.cc/die,Are delayed issues Harder to Resolve?
Rahul Krishna,2016,ASE 2016,http://tiny.cc/ase16bw,Too Much Automation?
Rahul Krishna,2017,Written Exam,http://tiny.cc/rkrsnWritten,
Rahul Krishna,2017,ASE 17 Doctoral Symposium,http://tiny.cc/rkrsn_ase17_ds,%
